Price,A. Income,A. House Age,A. Num Rooms,A. Num Bedrooms,A. Population
1059033.5,79545.46,5.6828613,7.009188,4.09,23086.8
1505890.9,79248.64,6.0028996,6.730821,3.09,40173.07
1058988.0,61287.066,5.86589,8.512728,5.13,36882.16
1260616.8,63345.24,7.188236,5.5867286,3.26,34310.242
630943.5,59982.195,5.0405545,7.839388,4.23,26354.11
1068138.1,80175.76,4.9884076,6.104512,4.04,26748.428
1502055.9,64698.465,6.025336,8.147759,3.41,60828.25
1573936.6,78394.336,6.98978,6.620478,2.42,36516.36
798869.56,59927.66,5.3621254,6.393121,2.3,29387.396
1545154.9,81885.93,4.4236717,8.167688,6.1,40149.965
1707045.8,80527.47,8.093513,5.042747,4.1,47224.36
663732.4,50593.695,4.496513,7.4676275,4.49,34343.992
1042814.1,39033.81,7.6717553,7.250029,3.1,39220.363
1291331.5,73163.664,6.9195347,5.993188,2.27,32326.123
1402818.2,69391.38,5.344776,8.406418,4.37,35521.293
1306674.6,73091.87,5.4431562,8.517512,4.01,23929.523
1556786.6,79706.96,5.0678897,8.219771,3.12,39717.812
528485.25,61929.08,4.7885504,5.0970097,4.3,24595.902
1019425.94,63508.195,5.947165,7.1877737,5.12,35719.652
1030591.44,62085.277,5.739411,7.0918083,5.49,44922.105
2146925.2,86295.0,6.627457,8.011898,4.07,47560.773
929247.6,60835.09,5.5512214,6.517175,2.1,45574.742
718887.25,64490.65,4.210323,5.478088,4.31,40358.96
743999.8,60697.35,6.170484,7.1505365,6.34,28140.967
895737.1,59748.855,5.3393397,7.7486815,4.23,27809.986
1453974.5,56974.477,8.287562,7.31288,4.33,40694.87
1125692.5,82173.625,4.0185246,6.9926987,2.03,38853.918
975429.5,64626.883,5.4433594,6.9887533,4.0,27784.742
1240763.8,90499.055,6.384359,4.2421913,3.04,33970.164
1577017.8,59323.793,6.977828,8.273697,4.07,37520.656
1246830.2,77811.52,5.3144603,6.686686,3.24,33754.74
1170720.9,68652.61,6.124342,6.29082,4.42,39355.625
1071279.2,55041.35,7.1271286,8.591924,5.36,30122.473
534305.1,50218.707,6.1188083,7.3335543,6.29,16810.783
936368.94,55909.324,5.419563,9.289854,6.0,22355.236
1199193.9,74372.81,5.5001287,6.5930457,2.07,39395.152
1233220.0,78667.91,5.470652,7.7808366,4.1,27637.656
1081150.1,78699.516,5.652784,6.756454,3.01,22836.607
524712.75,53128.184,5.180664,5.426903,2.39,32947.71
302355.84,17796.63,4.949557,6.7139053,2.5,47162.184
1026817.4,58566.848,6.5796914,5.0345254,2.17,39705.465
1762214.6,75537.8,7.845216,7.5556607,6.3,32778.195
882057.2,46147.055,6.623333,7.6068316,4.43,27161.129
1744932.2,70421.48,6.907083,7.634319,4.44,43183.93
1153871.5,62614.42,5.4993095,7.440505,6.32,26888.58
1499988.9,66394.875,7.0695124,7.20464,3.18,39741.08
1109588.4,73946.85,4.8631544,7.5371823,6.35,35261.13
980177.3,69144.74,7.2962246,5.9282236,3.22,19030.615
1323952.0,77278.695,6.238891,6.919204,2.13,21725.955
1662494.8,86754.195,6.6044397,6.2524548,4.02,43017.44
1417819.8,74399.84,6.382453,7.2526655,6.36,41084.664
549976.1,49408.2,5.8259206,5.831739,3.32,26881.13
1054771.0,62279.79,6.10845,6.3061166,4.12,35263.652
1415647.5,73078.2,5.9239063,6.4454565,3.32,54915.96
948788.25,72942.7,4.7862225,7.3198857,6.41,24377.908
1159596.5,63819.62,5.9498396,8.0224695,4.09,27825.572
1547133.4,73265.45,8.314762,7.4255977,3.24,21030.967
1186688.5,68488.13,6.1161118,7.1825275,5.08,18267.955
772112.0,55193.86,7.1861205,5.0969176,4.01,32537.818
1172730.1,77434.69,6.3092713,5.219754,3.06,36252.34
1111085.0,66158.88,4.476429,6.9117427,2.28,37098.742
1022781.2,60502.91,7.533381,5.731824,4.23,33579.633
